order_id,from_node_id,to_node_id,goods_volume
0,18,71,5
1,36,137,3
2,8,116,5
3,38,153,5
4,5,103,4
5,14,58,4
6,38,97,5
7,20,125,4
8,9,121,3
9,33,77,5
10,18,145,5
11,6,91,2
12,37,68,2
13,2,160,2
14,30,85,2
15,6,82,1
16,17,90,2
17,39,111,3
18,23,47,1
19,31,84,3
20,20,50,2
21,5,61,5
22,21,51,1
23,11,81,5
24,4,95,3
25,23,144,3
26,38,136,1
27,30,124,3
28,18,126,1
29,31,106,3
30,30,149,5
31,34,41,4
32,31,63,2
33,38,72,2
34,25,45,4
35,17,156,4
36,36,73,1
37,40,60,3
38,30,54,5
39,2,110,2
40,24,159,4
41,9,117,4
42,1,74,4
43,24,89,3
44,38,152,5
45,27,128,4
46,26,107,5
47,26,75,2
48,7,86,1
49,25,67,1
50,16,113,2
51,38,80,1
52,18,66,4
53,17,133,3
54,6,53,1
55,20,115,2
56,23,88,3
57,12,55,2
58,12,102,4
59,34,99,2
60,8,148,4
61,27,62,1
62,8,65,3
63,33,83,5
64,37,132,3
65,19,147,5
66,24,135,1
67,22,141,2
68,3,120,4
69,9,49,4
70,11,105,4
71,6,69,1
72,39,94,1
73,39,59,5
74,37,42,3
75,2,100,3
76,37,104,2
77,6,101,5
78,6,157,1
79,39,122,1
80,36,114,4
81,25,130,5
82,16,134,5
83,21,140,1
84,10,143,5
85,5,78,4
86,25,154,4
87,31,123,1
88,3,146,1
89,20,138,5
90,4,98,5
91,14,127,3
92,12,109,5
93,14,129,5
94,37,139,2
95,18,118,1
96,27,108,5
97,7,52,2
98,35,96,5
99,22,151,1
100,21,142,3
101,18,158,4
102,38,48,1
103,26,93,1
104,22,76,2
105,37,119,2
106,5,56,2
107,35,112,3
108,12,46,2
109,35,43,1
110,34,70,2
111,20,87,5
112,12,155,5
113,34,44,4
114,26,131,5
115,34,64,4
116,32,57,5
117,7,92,3
118,26,79,4
119,25,150,5
120,1,0,0
