id,start_time,end_time,coor_x,coor_y
0,0,24,54,44
10,0,12,57,58
11,12,20,74,13
20,0,12,77,52
21,12,20,77,31
30,0,12,19,10
31,12,20,31,20
40,0,12,46,53
41,12,20,22,68
50,0,12,68,33
51,12,20,75,69
60,0,12,49,12
61,12,20,56,72
70,0,12,47,45
71,12,20,35,77
80,0,12,19,56
81,12,20,30,30
90,0,12,79,60
91,12,20,57,37
100,0,12,74,24
101,12,20,59,51
110,0,12,39,68
111,12,20,29,75
120,0,12,29,46
121,12,20,24,20
130,0,12,49,53
131,12,20,42,21
140,0,12,75,12
141,12,20,19,61
150,0,12,67,42
151,12,20,42,64
160,0,12,41,10
161,12,20,33,48
170,0,12,45,29
171,12,20,65,56
180,0,12,38,52
181,12,20,44,66
190,0,12,10,70
191,12,20,10,40
200,0,12,46,34
201,12,20,63,12
210,0,12,15,13
211,12,20,48,23
220,0,12,27,50
221,12,20,14,29
230,0,12,52,36
231,12,20,68,76
240,0,12,41,62
241,12,20,11,77
250,0,12,75,71
251,12,20,51,24
260,0,12,67,14
261,12,20,45,77
270,0,12,21,21
271,12,20,56,66
280,0,12,10,26
281,12,20,24,34
290,0,12,63,39
291,12,20,22,31
300,0,12,52,35
301,12,20,78,70
310,0,12,16,71
311,12,20,78,43
320,0,12,57,42
321,12,20,13,41
330,0,12,62,23
331,12,20,25,66
340,0,12,30,34
341,12,20,68,51
350,0,12,33,28
351,12,20,23,50
360,0,12,58,64
361,12,20,59,21
370,0,12,79,48
371,12,20,51,11
380,0,12,45,54
381,12,20,74,34
390,0,12,79,77
391,12,20,10,13
400,0,12,60,45
401,12,20,46,71
