id,start_time,end_time,coor_x,coor_y
0,0,24,54,73
10,0,12,57,26
11,12,20,74,46
20,0,12,77,34
21,12,20,77,73
30,0,12,19,77
31,12,20,31,61
40,0,12,46,18
41,12,20,22,66
50,0,12,68,42
51,12,20,75,29
60,0,12,49,23
61,12,20,56,68
70,0,12,47,65
71,12,20,35,74
80,0,12,19,46
81,12,20,30,35
90,0,12,79,42
91,12,20,57,52
100,0,12,74,24
101,12,20,59,38
110,0,12,39,30
111,12,20,29,78
120,0,12,29,32
121,12,20,24,17
130,0,12,49,71
131,12,20,42,23
140,0,12,75,15
141,12,20,19,10
150,0,12,67,18
151,12,20,42,63
160,0,12,41,21
161,12,20,33,14
170,0,12,45,49
171,12,20,65,55
180,0,12,38,36
181,12,20,44,62
190,0,12,10,59
191,12,20,10,61
200,0,12,46,28
201,12,20,63,44
210,0,12,15,61
211,12,20,48,40
220,0,12,27,63
221,12,20,14,68
230,0,12,52,53
231,12,20,68,65
240,0,12,41,28
241,12,20,11,55
250,0,12,75,75
251,12,20,51,63
260,0,12,67,58
261,12,20,45,69
270,0,12,21,36
271,12,20,56,45
280,0,12,10,68
281,12,20,24,59
290,0,12,63,54
291,12,20,22,23
300,0,12,52,48
301,12,20,78,49
310,0,12,16,18
311,12,20,78,23
320,0,12,57,17
321,12,20,13,32
330,0,12,62,18
331,12,20,25,16
340,0,12,30,76
341,12,20,68,70
350,0,12,33,26
351,12,20,23,66
360,0,12,58,33
361,12,20,59,34
370,0,12,79,14
371,12,20,51,59
380,0,12,45,40
381,12,20,74,64
390,0,12,79,35
391,12,20,10,30
400,0,12,60,67
401,12,20,46,33
410,0,12,44,37
411,12,20,58,39
420,0,12,13,43
421,12,20,52,63
430,0,12,31,61
431,12,20,10,17
440,0,12,20,19
441,12,20,53,64
450,0,12,68,10
451,12,20,33,46
460,0,12,69,30
461,12,20,12,13
470,0,12,72,52
471,12,20,45,75
480,0,12,77,30
481,12,20,56,46
490,0,12,30,78
491,12,20,60,57
500,0,12,37,20
501,12,20,24,53
510,0,12,51,73
511,12,20,68,41
520,0,12,75,30
521,12,20,46,19
530,0,12,20,70
531,12,20,53,45
540,0,12,21,28
541,12,20,12,53
550,0,12,61,13
551,12,20,42,22
560,0,12,64,68
561,12,20,10,11
570,0,12,48,10
571,12,20,29,49
580,0,12,56,34
581,12,20,52,68
590,0,12,66,46
591,12,20,70,79
600,0,12,40,16
601,12,20,34,13
610,0,12,12,50
611,12,20,13,70
620,0,12,23,43
621,12,20,50,38
630,0,12,29,78
631,12,20,36,36
640,0,12,76,61
641,12,20,62,63
650,0,12,77,79
651,12,20,71,43
660,0,12,24,17
661,12,20,14,17
670,0,12,77,77
671,12,20,21,77
680,0,12,66,10
681,12,20,26,15
690,0,12,34,40
691,12,20,39,17
700,0,12,31,31
701,12,20,35,18
710,0,12,70,53
711,12,20,71,56
720,0,12,43,10
721,12,20,42,61
730,0,12,41,48
731,12,20,23,36
740,0,12,66,42
741,12,20,34,54
750,0,12,51,69
751,12,20,28,67
760,0,12,50,60
761,12,20,64,55
770,0,12,21,14
771,12,20,48,67
780,0,12,11,27
781,12,20,54,45
790,0,12,34,76
791,12,20,77,30
800,0,12,13,55
801,12,20,45,67
810,0,12,71,46
811,12,20,79,72
820,0,12,53,14
821,12,20,42,40
830,0,12,21,45
831,12,20,20,65
840,0,12,64,36
841,12,20,47,32
850,0,12,38,61
851,12,20,12,56
860,0,12,37,71
861,12,20,33,70
870,0,12,63,57
871,12,20,61,10
880,0,12,56,20
881,12,20,30,23
890,0,12,63,16
891,12,20,39,55
900,0,12,77,40
901,12,20,45,25
910,0,12,49,51
911,12,20,19,48
920,0,12,51,63
921,12,20,33,53
930,0,12,13,17
931,12,20,56,75
940,0,12,60,51
941,12,20,13,76
950,0,12,41,41
951,12,20,19,60
960,0,12,20,56
961,12,20,37,43
970,0,12,55,22
971,12,20,49,76
980,0,12,71,20
981,12,20,54,37
990,0,12,44,66
991,12,20,44,75
1000,0,12,43,74
1001,12,20,15,79
1010,0,12,46,44
1011,12,20,10,13
1020,0,12,44,70
1021,12,20,79,47
1030,0,12,63,53
1031,12,20,72,30
1040,0,12,18,16
1041,12,20,71,38
1050,0,12,11,16
1051,12,20,45,76
1060,0,12,50,79
1061,12,20,46,64
1070,0,12,58,31
1071,12,20,35,41
1080,0,12,77,45
1081,12,20,45,18
1090,0,12,40,35
1091,12,20,39,31
1100,0,12,43,55
1101,12,20,28,26
1110,0,12,27,35
1111,12,20,12,47
1120,0,12,79,11
1121,12,20,22,15
1130,0,12,54,22
1131,12,20,76,64
1140,0,12,49,72
1141,12,20,49,55
1150,0,12,32,15
1151,12,20,40,57
1160,0,12,27,69
1161,12,20,28,52
1170,0,12,53,77
1171,12,20,59,20
1180,0,12,51,67
1181,12,20,56,13
1190,0,12,31,79
1191,12,20,38,68
1200,0,12,68,14
1201,12,20,10,27
