order_id,from_node_id,to_node_id,goods_volume
0,6,38,3
1,25,100,5
2,4,48,1
3,6,47,3
4,9,53,4
5,5,84,5
6,27,34,4
7,18,71,5
8,24,62,5
9,25,45,5
10,2,104,3
11,19,83,2
12,2,35,4
13,15,82,5
14,18,94,5
15,8,61,1
16,22,102,1
17,12,44,3
18,15,113,5
19,17,107,4
20,21,115,4
21,2,87,1
22,18,109,1
23,30,105,2
24,13,93,5
25,23,89,5
26,15,101,1
27,23,80,1
28,1,39,1
29,3,90,2
30,20,40,2
31,24,60,2
32,29,73,5
33,26,79,2
34,15,52,5
35,19,42,1
36,12,117,5
37,21,91,4
38,10,96,3
39,15,32,1
40,1,86,4
41,13,36,3
42,23,77,4
43,10,54,3
44,19,78,3
45,5,46,2
46,8,118,4
47,4,114,4
48,17,33,1
49,13,72,5
50,6,120,4
51,21,67,4
52,14,97,1
53,17,74,1
54,14,111,2
55,19,69,5
56,20,92,5
57,18,112,2
58,8,65,1
59,27,50,1
60,18,95,1
61,15,88,4
62,30,66,5
63,4,58,5
64,11,37,3
65,21,119,3
66,11,31,4
67,2,85,4
68,24,76,5
69,21,75,3
70,17,98,2
71,11,108,1
72,19,106,5
73,29,110,2
74,27,116,4
75,24,55,1
76,21,56,4
77,17,49,3
78,3,103,2
79,7,59,1
80,10,51,1
81,3,81,4
82,21,57,5
83,13,64,2
84,10,63,1
85,26,70,1
86,29,68,3
87,22,43,2
88,5,41,2
89,27,99,1
90,1,0,0
