order_id,from_node_id,to_node_id,goods_volume
0,2,54,3
1,20,45,4
2,20,66,2
3,8,53,3
4,10,43,3
5,18,56,5
6,10,71,3
7,1,36,3
8,20,60,4
9,5,37,1
10,18,63,5
11,17,73,3
12,4,72,1
13,11,32,1
14,2,57,3
15,5,38,4
16,5,25,2
17,17,62,4
18,17,34,3
19,16,39,5
20,11,33,2
21,14,22,2
22,9,27,3
23,12,47,3
24,7,50,5
25,10,35,4
26,16,68,5
27,4,55,3
28,20,44,5
29,13,74,3
30,19,23,2
31,18,61,5
32,11,31,1
33,3,46,2
34,2,67,1
35,12,29,3
36,4,49,1
37,13,58,4
38,5,76,3
39,2,70,1
40,18,69,3
41,1,30,4
42,8,51,1
43,5,64,1
44,4,80,2
45,6,26,1
46,7,21,1
47,4,52,3
48,3,40,4
49,9,78,5
50,2,79,4
51,5,59,4
52,1,77,1
53,14,65,5
54,20,48,5
55,10,42,4
56,6,24,3
57,2,28,5
58,8,41,5
59,9,75,4
60,1,0,0
