id,start_time,end_time,coor_x,coor_y
0,0,24,54,71
10,0,12,57,79
11,12,20,74,53
20,0,12,77,42
21,12,20,77,21
30,0,12,19,20
31,12,20,31,64
40,0,12,46,47
41,12,20,22,38
50,0,12,68,12
51,12,20,75,37
60,0,12,49,33
61,12,20,56,63
70,0,12,47,61
71,12,20,35,56
80,0,12,19,30
81,12,20,30,63
90,0,12,79,39
91,12,20,57,77
100,0,12,74,45
101,12,20,59,49
110,0,12,39,19
111,12,20,29,51
120,0,12,29,33
121,12,20,24,13
130,0,12,49,56
131,12,20,42,60
140,0,12,75,13
141,12,20,19,41
150,0,12,67,19
151,12,20,42,20
160,0,12,41,37
161,12,20,33,55
170,0,12,45,49
171,12,20,65,71
180,0,12,38,54
181,12,20,44,44
190,0,12,10,44
191,12,20,10,43
200,0,12,46,15
201,12,20,63,46
210,0,12,15,10
211,12,20,48,44
220,0,12,27,79
221,12,20,14,63
230,0,12,52,72
231,12,20,68,18
240,0,12,41,71
241,12,20,11,11
250,0,12,75,45
251,12,20,51,50
260,0,12,67,46
261,12,20,45,58
270,0,12,21,35
271,12,20,56,77
280,0,12,10,45
281,12,20,24,40
290,0,12,63,39
291,12,20,22,43
300,0,12,52,28
301,12,20,78,27
310,0,12,16,12
311,12,20,78,79
320,0,12,57,22
321,12,20,13,54
330,0,12,62,76
331,12,20,25,49
340,0,12,30,49
341,12,20,68,32
350,0,12,33,40
351,12,20,23,27
360,0,12,58,28
361,12,20,59,53
370,0,12,79,59
371,12,20,51,51
380,0,12,45,56
381,12,20,74,31
390,0,12,79,38
391,12,20,10,68
400,0,12,60,10
401,12,20,46,73
410,0,12,44,26
411,12,20,58,46
420,0,12,13,34
421,12,20,52,73
430,0,12,31,77
431,12,20,10,61
440,0,12,20,18
441,12,20,53,66
450,0,12,68,42
451,12,20,33,29
460,0,12,69,23
461,12,20,12,68
470,0,12,72,65
471,12,20,45,74
480,0,12,77,46
481,12,20,56,35
490,0,12,30,42
491,12,20,60,52
500,0,12,37,24
501,12,20,24,38
510,0,12,51,30
511,12,20,68,78
520,0,12,75,32
521,12,20,46,17
530,0,12,20,71
531,12,20,53,23
540,0,12,21,15
541,12,20,12,10
550,0,12,61,18
551,12,20,42,63
560,0,12,64,21
561,12,20,10,14
570,0,12,48,49
571,12,20,29,55
580,0,12,56,36
581,12,20,52,62
590,0,12,66,59
591,12,20,70,61
600,0,12,40,28
601,12,20,34,44
610,0,12,12,61
611,12,20,13,40
620,0,12,23,63
621,12,20,50,68
630,0,12,29,53
631,12,20,36,65
640,0,12,76,28
641,12,20,62,55
650,0,12,77,75
651,12,20,71,63
660,0,12,24,58
661,12,20,14,69
670,0,12,77,36
671,12,20,21,45
680,0,12,66,68
681,12,20,26,59
690,0,12,34,54
691,12,20,39,23
700,0,12,31,48
701,12,20,35,49
710,0,12,70,18
711,12,20,71,23
720,0,12,43,17
721,12,20,42,32
730,0,12,41,18
731,12,20,23,16
740,0,12,66,76
741,12,20,34,70
750,0,12,51,26
751,12,20,28,66
760,0,12,50,33
761,12,20,64,34
770,0,12,21,14
771,12,20,48,59
780,0,12,11,40
781,12,20,54,64
790,0,12,34,35
791,12,20,77,30
800,0,12,13,67
801,12,20,45,33
