order_id,from_node_id,to_node_id,goods_volume
0,1,106,1
1,3,50,3
2,34,98,4
3,13,63,3
4,16,93,3
5,34,97,3
6,24,70,2
7,13,114,4
8,6,121,5
9,2,48,4
10,11,116,2
11,7,135,4
12,7,100,2
13,12,134,4
14,22,67,4
15,3,115,3
16,13,61,1
17,30,94,4
18,10,120,5
19,9,81,1
20,6,64,5
21,2,89,4
22,16,126,2
23,13,92,4
24,13,109,3
25,22,111,2
26,19,112,5
27,26,119,4
28,14,136,4
29,31,80,2
30,29,132,4
31,22,104,1
32,7,49,5
33,27,39,4
34,31,107,4
35,6,91,2
36,16,140,3
37,32,78,5
38,33,138,1
39,17,45,1
40,33,137,2
41,11,51,1
42,13,60,3
43,30,71,4
44,1,86,5
45,30,82,4
46,27,88,2
47,23,85,4
48,20,37,3
49,6,125,1
50,20,127,5
51,6,74,3
52,29,41,2
53,13,46,5
54,27,44,4
55,20,38,2
56,13,57,4
57,8,118,3
58,17,54,3
59,30,72,2
60,1,68,1
61,24,90,2
62,16,83,1
63,11,102,2
64,4,84,2
65,4,113,5
66,17,43,1
67,10,69,1
68,21,128,3
69,18,47,4
70,10,58,3
71,16,139,1
72,15,105,5
73,34,79,1
74,5,53,4
75,17,131,4
76,8,42,2
77,24,62,5
78,28,99,3
79,8,123,5
80,23,36,2
81,35,108,1
82,31,59,4
83,17,101,1
84,28,124,1
85,12,75,2
86,24,52,3
87,15,73,1
88,31,65,4
89,27,95,4
90,35,130,3
91,18,87,3
92,8,117,2
93,5,133,5
94,14,76,4
95,20,77,1
96,9,129,2
97,33,96,3
98,18,122,1
99,6,103,5
100,2,110,3
101,30,56,5
102,6,40,5
103,17,55,4
104,23,66,4
105,1,0,0
