id,start_time,end_time,coor_x,coor_y
0,0,24,54,44
10,0,12,57,61
11,12,20,74,40
20,0,12,77,63
21,12,20,77,68
30,0,12,19,53
31,12,20,31,65
40,0,12,46,28
41,12,20,22,55
50,0,12,68,75
51,12,20,75,63
60,0,12,49,58
61,12,20,56,69
70,0,12,47,36
71,12,20,35,45
80,0,12,19,68
81,12,20,30,59
90,0,12,79,54
91,12,20,57,23
100,0,12,74,48
101,12,20,59,49
110,0,12,39,18
111,12,20,29,23
120,0,12,29,17
121,12,20,24,32
130,0,12,49,18
131,12,20,42,16
140,0,12,75,76
141,12,20,19,70
150,0,12,67,26
151,12,20,42,66
160,0,12,41,33
161,12,20,33,34
170,0,12,45,14
171,12,20,65,59
180,0,12,38,40
181,12,20,44,64
190,0,12,10,35
191,12,20,10,30
200,0,12,46,67
201,12,20,63,33
210,0,12,15,37
211,12,20,48,39
220,0,12,27,43
221,12,20,14,63
230,0,12,52,61
231,12,20,68,17
240,0,12,41,19
241,12,20,11,64
250,0,12,75,10
251,12,20,51,46
260,0,12,67,30
261,12,20,45,13
270,0,12,21,52
271,12,20,56,75
280,0,12,10,30
281,12,20,24,46
290,0,12,63,78
291,12,20,22,57
300,0,12,52,20
301,12,20,78,53
310,0,12,16,73
311,12,20,78,41
320,0,12,57,30
321,12,20,13,19
330,0,12,62,70
331,12,20,25,45
340,0,12,30,28
341,12,20,68,53
350,0,12,33,13
351,12,20,23,22
360,0,12,58,68
361,12,20,59,11
370,0,12,79,10
371,12,20,51,49
380,0,12,45,34
381,12,20,74,68
390,0,12,79,46
391,12,20,10,79
400,0,12,60,16
401,12,20,46,13
410,0,12,44,50
411,12,20,58,70
420,0,12,13,43
421,12,20,52,38
430,0,12,31,78
431,12,20,10,36
440,0,12,20,61
441,12,20,53,63
450,0,12,68,79
451,12,20,33,43
460,0,12,69,17
461,12,20,12,17
470,0,12,72,77
471,12,20,45,77
480,0,12,77,10
481,12,20,56,15
490,0,12,30,40
491,12,20,60,17
500,0,12,37,31
501,12,20,24,18
510,0,12,51,53
511,12,20,68,56
520,0,12,75,10
521,12,20,46,61
530,0,12,20,48
531,12,20,53,36
540,0,12,21,42
541,12,20,12,54
550,0,12,61,69
551,12,20,42,67
560,0,12,64,60
561,12,20,10,55
570,0,12,48,14
571,12,20,29,67
580,0,12,56,27
581,12,20,52,45
590,0,12,66,76
591,12,20,70,30
600,0,12,40,55
601,12,20,34,67
610,0,12,12,46
611,12,20,13,72
620,0,12,23,14
621,12,20,50,40
630,0,12,29,45
631,12,20,36,65
640,0,12,76,36
641,12,20,62,32
650,0,12,77,61
651,12,20,71,56
660,0,12,24,71
661,12,20,14,70
670,0,12,77,57
671,12,20,21,10
680,0,12,66,20
681,12,20,26,23
690,0,12,34,16
691,12,20,39,55
700,0,12,31,40
701,12,20,35,25
710,0,12,70,51
711,12,20,71,48
720,0,12,43,63
721,12,20,42,53
730,0,12,41,17
731,12,20,23,75
740,0,12,66,51
741,12,20,34,76
750,0,12,51,41
751,12,20,28,60
760,0,12,50,56
761,12,20,64,43
770,0,12,21,22
771,12,20,48,76
780,0,12,11,20
781,12,20,54,37
790,0,12,34,66
791,12,20,77,75
800,0,12,13,74
801,12,20,45,79
810,0,12,71,44
811,12,20,79,13
820,0,12,53,70
821,12,20,42,47
830,0,12,21,53
831,12,20,20,30
840,0,12,64,16
841,12,20,47,38
850,0,12,38,16
851,12,20,12,76
860,0,12,37,79
861,12,20,33,64
870,0,12,63,31
871,12,20,61,41
880,0,12,56,45
881,12,20,30,18
890,0,12,63,35
891,12,20,39,31
900,0,12,77,55
901,12,20,45,26
910,0,12,49,35
911,12,20,19,47
920,0,12,51,11
921,12,20,33,15
930,0,12,13,22
931,12,20,56,64
940,0,12,60,72
941,12,20,13,55
950,0,12,41,15
951,12,20,19,57
960,0,12,20,69
961,12,20,37,52
970,0,12,55,77
971,12,20,49,20
980,0,12,71,67
981,12,20,54,13
990,0,12,44,79
991,12,20,44,68
1000,0,12,43,14
1001,12,20,15,27
1010,0,12,46,79
1011,12,20,10,73
1020,0,12,44,34
1021,12,20,79,13
1030,0,12,63,79
1031,12,20,72,50
1040,0,12,18,46
1041,12,20,71,68
1050,0,12,11,59
1051,12,20,45,65
1060,0,12,50,34
1061,12,20,46,43
1070,0,12,58,28
1071,12,20,35,17
1080,0,12,77,63
1081,12,20,45,56
1090,0,12,40,43
1091,12,20,39,39
1100,0,12,43,22
1101,12,20,28,56
1110,0,12,27,42
1111,12,20,12,44
1120,0,12,79,35
1121,12,20,22,56
1130,0,12,54,62
1131,12,20,76,74
1140,0,12,49,28
1141,12,20,49,14
1150,0,12,32,17
1151,12,20,40,13
1160,0,12,27,58
1161,12,20,28,47
1170,0,12,53,58
1171,12,20,59,61
1180,0,12,51,59
1181,12,20,56,59
1190,0,12,31,39
1191,12,20,38,13
1200,0,12,68,75
1201,12,20,10,30
1210,0,12,73,52
1211,12,20,26,38
1220,0,12,46,36
1221,12,20,34,62
1230,0,12,73,58
1231,12,20,77,76
1240,0,12,61,19
1241,12,20,18,12
1250,0,12,66,78
1251,12,20,42,20
1260,0,12,29,22
1261,12,20,23,47
1270,0,12,68,49
